"Rough Blasting Powder","Rough Dynamite","Handful of Copper Bolts","Rough Copper Bomb","Arclight Spanner",
"Rough Boomstick","Crude Scope","Coarse Blasting Powder","Coarse Dynamite","Mechanical Squirrel Box",
"Target Dummy","Silver Contact","EZ-Thro Dynamite","Clockwork Box","Flying Tiger Goggles",
"Small Seaforium Charge","Bronze Tube","Large Copper Bomb","Deadly Blunderbuss","Standard Scope",
"Small Bronze Bomb","Lovingly Crafted Boomstick","Shadow Goggles","Heavy Blasting Powder","Heavy Dynamite",
"Small Blue Rocket","Small Green Rocket","Small Red Rocket","Flame Deflector","Whirring Bronze Gizmo",
"Gnomish Universal Remote","Silver-plated Shotgun","Ornate Spyglass","Big Bronze Bomb","Minor Recombobulator",
"Bronze Framework","Moonsight Rifle","Aquadynamic Fish Attractor","Blue Firework","Green Firework",
"Red Firework","Gold Power Core","Green Tinted Goggles","Explosive Sheep","Ice Deflector",
"Iron Strut","Discombobulator Ray","Goblin Jumper Cables","Portable Bronze Mortar","Gyrochronatom",
"Solid Blasting Powder","Solid Dynamite","Large Blue Rocket","Large Green Rocket","Large Red Rocket",
"Compact Harvest Reaper Kit","Gyromatic Micro-Adjustor","Iron Grenade","Bright-Eye Goggles","Accurate Scope",
"Advanced Target Dummy","Flash Bomb","Craftsman's Monocle","Big Iron Bomb","Snowmaster 9000",
"Mithril Tube","Goblin Land Mine","EZ-Thro Dynamite II","Large Seaforium Charge","Mechanical Repair Kit",
"Unstable Trigger","Gnomish Cloaking Device","Mechanical Dragonling","Inlaid Mithril Cylinder","Goblin Rocket Fuel",
"Lil' Smoky","Pet Bombling","Goblin Sapper Charge","Fire Goggles","Gnomish Shrink Ray",
"Goblin Construction Helmet","Goblin Mining Helmet","Goblin Mortar","Mithril Blunderbuss","Gnomish Net-o-Matic Projector",
"Deadly Scope","Gnomish Rocket Boots","Mithril Casing","Mithril Frag Bomb","Gnomish Goggles",
"Gnomish Harm Prevention Belt","Catseye Ultra Goggles","Mithril Heavy-bore Rifle","Blue Rocket Cluster","Green Rocket Cluster",
"Red Rocket Cluster","Goblin Rocket Boots","Parachute Cloak","Spellpower Goggles Xtreme","Firework Launcher",
"Goblin Bomb Dispenser","Deepdive Helmet","Rose Colored Goggles","Gnomish Battle Chicken","Hi-Explosive Bomb",
"The Big One","Gnomish Mind Control Cap","Gnomish Death Ray","Goblin Dragon Gun","Sniper Scope",
"Green Lens","Goblin Rocket Helmet","Dense Blasting Powder","Dense Dynamite","Snake Burst Firework",
"High-powered Flashlight","Mithril Mechanical Dragonling","Salt Shaker","Tranquil Mechanical Yeti","World Enlarger",
"Truesilver Transformer","Gyrofreeze Ice Reflector","Thorium Rifle","Thorium Grenade","Thorium Widget",
"Dimensional Ripper - Everlook","Ultrasafe Transporter - Gadgetzan","Gnomish Alarm-o-Bot","Goblin Jumper Cables XL","Lifelike Mechanical Toad",
"Spellpower Goggles Xtreme Plus","Fused Wiring","Large Blue Rocket Cluster","Large Green Rocket Cluster","Large Red Rocket Cluster",
"Steam Tonk Controller","Powerful Seaforium Charge","Major Recombobulator","Dark Iron Rifle","Cluster Launcher",
"Masterwork Target Dummy","Thorium Tube","Dark Iron Bomb","Delicate Arcanite Converter","Hyper-Radiant Flame Reflector",
"Master Engineer's Goggles","Voice Amplification Modulator","Handful of Fel Iron Bolts","Elemental Blasting Powder","Fel Iron Casing",
"Core Marksman Rifle","Force Reactive Disk","Arcanite Dragonling","Biznicks 247x128 Accurascope","Bloodvine Goggles",
"Bloodvine Lens","Flawless Arcanite Rifle","Ultra-Flash Shadow Reflector","Arcane Bomb","Fel Iron Bomb",
"Field Repair Bot 74A","Flying Machine","Zapthrottle Mote Extractor","Fel Iron Musket","Adamantite Frame",
"Fel Iron Toolbox","The Bigger One","Crashin' Thrashin' Robot","Adamantite Grenade","Gnomish Flame Turret",
"Healing Potion Injector","Icy Blasting Primers","Green Smoke Flare","Purple Smoke Flare","White Smoke Flare",
"Adamantite Scope","Frost Grenade","Super Sapper Charge","Cogspinner Goggles","Power Amplification Goggles",
"Felsteel Stabilizer","Hardened Adamantite Tube","Khorium Power Core","Gnomish Poultryizer","Mana Potion Injector",
"Elemental Seaforium Charge","Dimensional Ripper - Area 52","Ultrasafe Transporter - Toshley's Station","Goblin Rocket Launcher","Nigh-Invulnerability Belt",
