"Delicate Copper Wire","Rough Stone Statue","Braided Copper Ring","Woven Copper Ring","Heavy Copper Ring",
"Malachite Pendant","Tigerseye Band","Inlaid Malachite Ring","Ornate Tigerseye Necklace","Bronze Setting",
"Coarse Stone Statue","Elegant Silver Ring","Solid Bronze Ring","Thick Bronze Necklace","Simple Pearl Ring",
"Bronze Band of Force","Gloom Band","Brilliant Necklace","Bronze Torc","Ring of Silver Might",
"Heavy Silver Ring","Ring of Twilight Shadows","Heavy Jade Ring","Heavy Stone Statue","Amulet of the Moon",
"Barbaric Iron Collar","Moonsoul Crown","Pendant of the Agate Shield","Heavy Iron Knuckles","Wicked Moonstone Ring",
"Golden Dragon Ring","Mithril Filigree","Blazing Citrine Ring","Heavy Golden Necklace of Battle","Jade Pendant of Blasting",
"Engraved Truesilver Ring","The Jade Eye","Solid Stone Statue","Golden Ring of Power","Citrine Ring of Rapid Healing",
"Citrine Pendant of Golden Healing","Amulet of Truesight","Truesilver Commander's Ring","Figurine - Golden Hare","Figurine - Jade Owl",
"Aquamarine Signet","Figurine - Black Pearl Panther","Aquamarine Pendant of the Warrior","Dense Stone Statue","Thorium Setting",
"Ruby Crown of Restoration","Figurine - Truesilver Crab","Red Ring of Destruction","Figurine - Truesilver Boar","Ruby Pendant of Fire",
"Truesilver Healing Ring","The Aquamarine Ward","Gem Studded Band","Opal Necklace of Impact","Figurine - Ruby Serpent",
"Simple Opal Ring","Diamond Focus Ring","Emerald Crown of Destruction","Sapphire Signet","Glowing Thorium Band",
"Onslaught Ring","Sapphire Pendant of Winter Night","Figurine - Emerald Owl","Ring of Bitter Shadows","Living Emerald Pendant",
"Emerald Lion Ring","Brilliant Blood Garnet","Inscribed Flame Spessarite","Radiant Deep Peridot","Solid Azure Moonstone",
"Timeless Shadow Draenite","Bold Blood Garnet","Delicate Blood Garnet","Jagged Deep Peridot","Sparkling Azure Moonstone",
"Prismatic Black Diamond","Figurine - Black Diamond Crab","Figurine - Dark Iron Scorpid","Purified Shadow Draenite","Reckless Flame Spessarite",
"Necklace of the Diamond Tower","Fel Iron Blood Ring","Golden Draenite Ring","Band of Natural Fire","Glinting Shadow Draenite",
"Regal Deep Peridot","Stormy Azure Moonstone","Subtle Golden Draenite","Azure Moonstone Ring","Smooth Golden Draenite",
"Shifting Shadow Draenite","Purified Jaggal Pearl","Mercurial Adamantite","Deadly Flame Spessarite","Potent Flame Spessarite",
"Rigid Azure Moonstone","Sovereign Shadow Draenite","Veiled Shadow Draenite","Brilliant Pearl Band","The Black Pearl",
