"Light Leather","Light Armor Kit","Handstitched Leather Boots","Handstitched Leather Bracers","Handstitched Leather Cloak",
"Handstitched Leather Vest","Handstitched Leather Pants","Handstitched Leather Belt","Cured Light Hide","Rugged Leather Pants",
"Embossed Leather Vest","Kodo Hide Bag","Embossed Leather Boots","Embossed Leather Gloves","Embossed Leather Cloak",
"White Leather Jerkin","Light Leather Bracers","Embossed Leather Pants","Fine Leather Gloves","Fine Leather Belt",
"Fine Leather Cloak","Fine Leather Tunic","Moonglow Vest","Deviate Scale Cloak","Fine Leather Boots",
"Murloc Scale Belt","Light Leather Pants","Murloc Scale Breastplate","Medium Leather","Cured Medium Hide",
"Medium Armor Kit","Black Whelp Cloak","Black Whelp Tunic","Dark Leather Boots","Dark Leather Tunic",
"Hillman's Leather Vest","Deviate Scale Gloves","Fine Leather Pants","Dark Leather Cloak","Deviate Scale Belt",
"Dark Leather Pants","Toughened Leather Armor","Hillman's Belt","Nimble Leather Gloves","Red Whelp Gloves",
"Dark Leather Gloves","Fletcher's Gloves","Dark Leather Belt","Hillman's Shoulders","Toughened Leather Gloves",
"Earthen Leather Shoulders","Herbalist's Gloves","Dark Leather Shoulders","Pilferer's Gloves","Heavy Earthen Gloves",
"Hillman's Leather Gloves","Heavy Leather","Heavy Leather Ball","Cured Heavy Hide","Barbaric Gloves",
"Hillman's Cloak","Heavy Armor Kit","Barbaric Bracers","Green Leather Armor","Green Leather Belt",
"Guardian Pants","Dusky Leather Leggings","Raptor Hide Belt","Raptor Hide Harness","Barbaric Leggings",
"Guardian Belt","Thick Murloc Armor","Barbaric Shoulders","Dusky Leather Armor","Green Whelp Armor",
"Guardian Armor","Frost Leather Cloak","Green Leather Bracers","Gem-studded Leather Belt","Dusky Bracers",
"Guardian Cloak","Barbaric Harness","Gloves of the Greatfather","Green Whelp Bracers","Guardian Gloves",
"Murloc Scale Bracers","Dusky Belt","Guardian Leather Bracers","Cured Thick Hide","Thick Leather",
"Shadowskin Gloves","Comfortable Leather Hat","Barbaric Belt","Dusky Boots","Swift Boots",
"Thick Armor Kit","Nightscape Headband","Nightscape Tunic","Turtle Scale Gloves","Nightscape Shoulders",
"Turtle Scale Bracers","Turtle Scale Breastplate","Big Voodoo Robe","Big Voodoo Mask","Tough Scorpid Bracers",
"Tough Scorpid Breastplate","Wild Leather Shoulders","Tough Scorpid Gloves","Wild Leather Helmet","Wild Leather Vest",
"Gauntlets of the Sea","Nightscape Pants","Turtle Scale Helm","Nightscape Boots","Tough Scorpid Boots",
"Turtle Scale Leggings","Big Voodoo Cloak","Big Voodoo Pants","Tough Scorpid Shoulders","Dragonscale Gauntlets",
"Wolfshead Helm","Tough Scorpid Leggings","Wild Leather Boots","Rugged Leather","Cured Rugged Hide",
"Rugged Armor Kit","Feathered Breastplate","Helm of Fire","Tough Scorpid Helm","Wild Leather Cloak",
"Wild Leather Leggings","Dragonscale Breastplate","Heavy Scorpid Bracers","Blackstorm Leggings","Dragonstrike Leggings",
"Green Dragonscale Breastplate","Wildfeather Leggings","Wicked Leather Gauntlets","Chimeric Gloves","Heavy Scorpid Vest",
"Wicked Leather Bracers","Green Dragonscale Leggings","Ironfeather Shoulders","Living Shoulders","Runic Leather Gauntlets",
"Volcanic Leggings","Gordok Ogre Suit","Stormshroud Pants","Warbear Harness","Chimeric Boots",
"Frostsaber Boots","Heavy Scorpid Gauntlets","Runic Leather Bracers","Green Dragonscale Gauntlets","Chimeric Leggings",
"Heavy Scorpid Belt","Runic Leather Belt","Wicked Leather Headband","Winter Boots","Blue Dragonscale Breastplate",
"Living Leggings","Stormshroud Armor","Warbear Woolies","Frostsaber Leggings","Heavy Scorpid Leggings",
"Volcanic Breastplate","Black Dragonscale Breastplate","Dawn Treaders","Devilsaur Gauntlets","Ironfeather Breastplate",
"Might of the Timbermaw","Chimeric Vest","Runic Leather Headband","Wicked Leather Pants","Corehound Boots",
"Blue Dragonscale Shoulders","Stormshroud Shoulders","Frostsaber Gloves","Heavy Scorpid Helm","Comfortable Insoles",
"Knothide Leather","Felscale Gloves","Leatherworker's Satchel","Scaled Draenic Pants","Thick Draenic Gloves",
"Wild Draenish Boots","Knothide Armor Kit","Black Dragonscale Boots","Chromatic Cloak","Chromatic Gauntlets",
"Corehound Belt","Dreamscale Breastplate","Hide of the Wild","Icy Scale Bracers","Icy Scale Breastplate",
"Icy Scale Gauntlets","Lava Belt","Molten Belt","Molten Helm","Polar Bracers",
"Polar Gloves","Polar Tunic","Shifting Cloak","Black Dragonscale Leggings","Black Dragonscale Shoulders",
"Blood Tiger Breastplate","Blood Tiger Shoulders","Blue Dragonscale Leggings","Bramblewood Belt","Bramblewood Boots",
"Bramblewood Helm","Core Armor Kit","Devilsaur Leggings","Girdle of Insight","Golden Mantle of the Dawn",
"Living Breastplate","Mongoose Boots","Onyxia Scale Cloak","Primal Batskin Bracers","Primal Batskin Gloves",
"Primal Batskin Jerkin","Red Dragonscale Breastplate","Sandstalker Bracers","Sandstalker Breastplate","Sandstalker Gauntlets",
"Spitfire Bracers","Spitfire Breastplate","Spitfire Gauntlets","Stormshroud Gloves","Swift Flight Bracers",
"Timbermaw Brawlers","Frostsaber Tunic","Heavy Scorpid Shoulders","Runic Leather Armor","Runic Leather Pants",
"Runic Leather Shoulders","Volcanic Shoulders","Wicked Leather Armor","Wicked Leather Belt","Felscale Boots",
"Scaled Draenic Gloves","Wild Draenish Gloves","Thick Draenic Pants","Felscale Pants","Thick Draenic Boots",
"Wild Draenish Leggings","Heavy Knothide Leather","Reinforced Mining Bag","Magister's Armor Kit","Vindicator's Armor Kit",
"Scaled Draenic Vest","Thick Draenic Vest","Wild Draenish Vest","Golden Dragonstrike Breastplate","Living Crystal Breastplate",
"Primalstorm Breastplate","Clefthide Leg Armor","Cobrahide Leg Armor","Felscale Breastplate","Scaled Draenic Boots",
"Drums of War","Fel Leather Gloves","Netherfury Belt","Netherfury Leggings","Drums of Speed",
"Drums of Restoration","Borean Leather","Glove Reinforcements","Heavy Knothide Armor Kit","Blastguard Belt",
"Blastguard Boots","Blastguard Pants","Enchanted Clefthoof Boots","Enchanted Clefthoof Gloves","Enchanted Clefthoof Leggings",
"Enchanted Felscale Boots","Enchanted Felscale Gloves","Enchanted Felscale Leggings","Fel Leather Boots","Fel Leather Leggings",
"Felstalker Belt","Flamescale Belt","Flamescale Boots","Flamescale Leggings","Netherfury Boots",
"Riding Crop","Stylin' Adventure Hat","Stylin' Crimson Hat","Stylin' Jungle Hat","Stylin' Purple Hat",
"Bag of Many Hides","Borean Armor Kit","Heavy Clefthoof Boots","Heavy Clefthoof Leggings","Quiver of a Thousand Feathers",
"Cloak of Darkness","Felstalker Bracers","Felstalker Breastplate","Heavy Clefthoof Vest","Drums of Battle",
"Nethercleft Leg Armor","Nethercobra Leg Armor","Cobrascale Gloves","Cobrascale Hood","Earthen Netherscale Boots",
"Gloves of the Living Touch","Hood of Primal Life","Living Dragonscale Helm","Netherdrake Gloves","Netherdrake Helm",
"Shadowprowler's Chestguard","Thick Netherscale Breastplate","Windscale Hood","Windslayer Wraps","Windstrike Gloves",
"Carapace of Sun and Shadow","Embrace of the Phoenix","Fletcher's Gloves of the Phoenix","Gloves of Immortal Dusk","Leather Chestguard of the Sun",
"Leather Gauntlets of the Sun","Sun-Drenched Scale Chestguard","Sun-Drenched Scale Gloves","Drums of Panic","Arctic Boots",
"Arctic Chestpiece","Frostscale Belt","Frostscale Leggings","Iceborne Gloves","Iceborne Leggings",
"Nerubian Gloves","Nerubian Legguards","Belt of Deep Shadow","Belt of Natural Power","Belt of the Black Eagle",
"Bindings of Lightning Reflexes","Boots of Natural Grace","Boots of Shackled Souls","Boots of the Crimson Hawk","Boots of Utter Darkness",
"Bracers of Renewed Life","Bracers of Shackled Souls","Greaves of Shackled Souls","Hurricane Boots","Living Earth Bindings",
"Living Earth Shoulders","Monsoon Belt","Redeemed Soul Cinch","Redeemed Soul Legguards","Redeemed Soul Moccasins",
"Redeemed Soul Wristguards","Shoulderpads of Renewed Life","Shoulders of Lightning Reflexes","Swiftstrike Bracers","Swiftstrike Shoulders",
"Waistguard of Shackled Souls","Arctic Gloves","Arctic Leggings","Frostscale Chestguard","Frostscale Shoulders",
"Iceborne Boots","Iceborne Chestguard","Nerubian Belt","Nerubian Chestguard","Iceborne Belt",
"Cloak of Harsh Winds","Arctic Belt","Arctic Shoulderpads","Frostscale Boots","Frostscale Gloves",
"Iceborne Shoulderpads","Nerubian Boots","Nerubian Shoulders","Ebon Netherscale Belt","Ebon Netherscale Bracers",
"Ebon Netherscale Breastplate","Netherstrike Belt","Netherstrike Bracers","Netherstrike Breastplate","Primalstrike Belt",
"Primalstrike Bracers","Primalstrike Vest","Windhawk Belt","Windhawk Bracers","Windhawk Hauberk",
"Arctic Helm","Arctic Wristguards","Frostscale Bracers","Frostscale Helm","Iceborne Helm",
"Iceborne Wristguards","Nerubian Bracers","Nerubian Helm","Heavy Borean Leather","Heavy Borean Armor Kit",
"Cloak of Tormented Skies","Dark Arctic Chestpiece","Dark Arctic Leggings","Dark Frostscale Breastplate","Dark Frostscale Leggings",
"Dark Iceborne Chestguard","Dark Iceborne Leggings","Dark Nerubian Chestpiece","Dark Nerubian Leggings","Draconic Leg Reinforcements Rank 1",
"Heavy Leg Reinforcements Rank 1","Primal Leg Reinforcements Rank 1","Nerubian Leg Armor","Black Chitinguard Boots","Bugsquashers",
"Dragonstompers","Scaled Icewalkers","Fur Lining - Agility Rank 1","Fur Lining - Intellect Rank 1","Fur Lining - Stamina Rank 1",
"Fur Lining - Strength Rank 1","Jormungar Leg Armor","Mammoth Mining Bag","Pack of Endless Pockets","Trapper's Traveling Pack",
"Eaglebane Bracers","Eviscerator's Bindings","Eviscerator's Chestguard","Eviscerator's Facemask","Eviscerator's Shoulderpads",
"Jormscale Footpads","Nightshock Girdle","Overcast Bracers","Overcast Chestguard","Overcast Headguard",
"Overcast Spaulders","Purehorn Spaulders","Seafoam Gauntlets","Stormhide Crown","Stormhide Hauberk",
"Stormhide Shoulders","Stormhide Wristguards","Swiftarrow Bracers","Swiftarrow Hauberk","Swiftarrow Helm",
"Swiftarrow Shoulderguards","Virulent Spaulders","Icy Scale Belt","Icy Scale Boots","Polar Boots",
"Polar Cord","Eviscerator's Gauntlets","Eviscerator's Legguards","Eviscerator's Treads","Eviscerator's Waistguard",
"Leggings of Visceral Strikes","Nightshock Hood","Overcast Belt","Overcast Boots","Overcast Handwraps",
"Overcast Leggings","Razorstrike Breastplate","Stormhide Belt","Stormhide Grips","Stormhide Legguards",
"Stormhide Stompers","Swiftarrow Belt","Swiftarrow Boots","Swiftarrow Gauntlets","Swiftarrow Leggings",
"Wildscale Breastplate","Earthen Leg Armor","Frosthide Leg Armor","Icescale Leg Armor","Savage Leather",
"Icy Scale Chestguard","Polar Vest","Savage Armor Kit","Durable Nerubhide Cape","Earthgiving Boots",
"Earthgiving Legguards","Giantmaim Bracers","Giantmaim Legguards","Ice Striker's Cloak","Revenant's Breastplate",
"Revenant's Treads","Trollwoven Girdle","Trollwoven Spaulders","Windripper Boots","Windripper Leggings",
"Drums of Forgotten Kings","Drums of the Wild","Belt of Arctic Life","Belt of Dragons","Blue Belt of Chaos",
"Boots of Living Scale","Boots of Wintry Endurance","Death-warmed Belt","Footpads of Silence","Lightning Grounded Boots",
"Darkbrand Bracers","Tsunami Boots","Black Chitin Bracers","Bracers of Swift Death","Crusader's Dragonscale Bracers",
"Crusader's Dragonscale Breastplate","Ensorcelled Nerubian Breastplate","Knightbane Carapace","Lunar Eclipse Robes","Moonshadow Armguards",
"Bladeborn Leggings","Blessed Cenarion Boots","Draconic Bonesplinter Legguards","Earthsoul Boots","Footpads of Impending Death",
"Legwraps of Unleashed Nature","Lightning-Infused Leggings","Rock-Steady Treads","Tsunami Shoulders","Darkbrand Belt",
"Savage Cloak","Tsunami Bracers","Darkbrand Gloves","Darkbrand Boots","Hardened Scale Cloak",
"Tsunami Belt","Scorched Leg Armor","Darkbrand Shoulders","Tsunami Gloves","Twilight Leg Armor",
"Darkbrand Chestguard","Tsunami Leggings","Heavy Savage Leather","Heavy Savage Armor Kit","Darkbrand Leggings",
"Tsunami Helm","Darkbrand Helm","Tsunami Chestguard","Cloak of Beasts","Cloak of War",
"Draconic Leg Reinforcements Rank 2","Heavy Leg Reinforcements Rank 2","Primal Leg Reinforcements Rank 2","Fur Lining - Agility Rank 2","Fur Lining - Intellect Rank 2",
"Fur Lining - Stamina Rank 2","Fur Lining - Strength Rank 2","Vicious Fur Cloak","Vicious Hide Cloak","Triple-Reinforced Mining Bag",
"Exotic Leather","Magnificence of Leather","Magnificence of Scales","Vicious Charscale Bracers","Vicious Charscale Gloves",
"Vicious Dragonscale Bracers","Vicious Dragonscale Shoulders","Vicious Leather Bracers","Vicious Leather Gloves","Vicious Wyrmhide Belt",
"Vicious Wyrmhide Bracers","Royal Scribe's Satchel","Vicious Charscale Belt","Vicious Charscale Boots","Vicious Dragonscale Boots",
"Vicious Dragonscale Gloves","Vicious Leather Boots","Vicious Leather Shoulders","Vicious Wyrmhide Boots","Vicious Wyrmhide Gloves",
"Belt of Nefarious Whispers","Corded Viper Belt","Lightning Lash","Stormleather Sash","Vicious Charscale Legs",
"Vicious Charscale Shoulders","Vicious Dragonscale Belt","Vicious Dragonscale Helm","Vicious Leather Belt","Vicious Leather Helm",
"Vicious Wyrmhide Chest","Vicious Wyrmhide Shoulders","Clutches of Evil","Dragonfire Gloves","Earthen Scale Sabatons",
"Ethereal Footfalls","Footwraps of Quenched Fire","Gloves of Unforgiving Flame","Heavenly Gloves of the Moon","Treads of the Craft",
